Date,Open,High,Low,Close ,Adj Close 
19-Jul-25,"118,002.22","118,540.45","117,439.62","117,705.25","117,705.25"
18-Jul-25,"119,284.11","120,851.91","116,925.98","118,003.23","118,003.23"
17-Jul-25,"118,738.51","120,999.61","117,508.22","119,289.84","119,289.84"
16-Jul-25,"117,777.19","120,065.52","117,064.82","118,738.51","118,738.51"
15-Jul-25,"119,853.85","119,935.56","115,765.69","117,777.19","117,777.19"
14-Jul-25,"119,115.79","123,091.61","118,959.20","119,849.70","119,849.70"
13-Jul-25,"117,432.20","119,449.57","117,265.44","119,116.12","119,116.12"
12-Jul-25,"117,530.71","118,219.90","116,977.02","117,435.23","117,435.23"
11-Jul-25,"115,986.23","118,856.48","115,245.69","117,516.99","117,516.99"
10-Jul-25,"111,329.20","116,608.78","110,660.75","115,987.20","115,987.20"
9-Jul-25,"108,950.27","111,925.38","108,357.68","111,326.55","111,326.55"
8-Jul-25,"108,298.23","109,198.97","107,499.55","108,950.27","108,950.27"
7-Jul-25,"109,235.33","109,710.25","107,527.05","108,299.85","108,299.85"
6-Jul-25,"108,231.19","109,731.63","107,847.02","109,232.07","109,232.07"
5-Jul-25,"108,015.84","108,381.34","107,842.27","108,231.18","108,231.18"
4-Jul-25,"109,635.66","109,751.98","107,296.38","108,034.34","108,034.34"
3-Jul-25,"108,845.02","110,541.46","108,605.80","109,647.98","109,647.98"
2-Jul-25,"105,703.10","109,763.66","105,157.40","108,859.32","108,859.32"
1-Jul-25,"107,144.38","107,550.68","105,270.23","105,698.28","105,698.28"
30-Jun-25,"108,383.44","108,798.79","106,759.65","107,135.34","107,135.34"
29-Jun-25,"107,327.82","108,526.30","107,230.11","108,385.57","108,385.57"
28-Jun-25,"107,090.55","107,567.88","106,883.98","107,327.70","107,327.70"
27-Jun-25,"106,954.92","107,772.47","106,449.99","107,088.43","107,088.43"
26-Jun-25,"107,375.07","108,305.55","106,666.35","106,960.00","106,960.00"
25-Jun-25,"106,047.41","108,168.40","105,881.39","107,361.26","107,361.26"
24-Jun-25,"105,571.52","106,316.83","104,740.24","106,045.63","106,045.63"
23-Jun-25,"100,987.48","106,116.86","99,705.75","105,577.77","105,577.77"
22-Jun-25,"102,212.03","103,351.63","98,286.20","100,987.14","100,987.14"
21-Jun-25,"103,315.08","104,015.78","100,973.06","102,257.41","102,257.41"
20-Jun-25,"104,681.03","106,539.38","102,372.21","103,309.60","103,309.60"
19-Jun-25,"104,886.77","105,250.89","103,940.77","104,684.29","104,684.29"
18-Jun-25,"104,602.07","105,581.85","103,602.27","104,883.33","104,883.33"
17-Jun-25,"106,794.12","107,750.20","103,396.53","104,601.12","104,601.12"
16-Jun-25,"105,555.59","108,915.38","104,997.63","106,796.76","106,796.76"
15-Jun-25,"105,464.84","106,157.10","104,519.88","105,552.02","105,552.02"
14-Jun-25,"106,108.09","106,203.76","104,379.37","105,472.41","105,472.41"
